timestamp,faucet_id,usage_liters
2023-01-01 19:28:00,Bathroom_1,0.36
2023-01-01 07:20:00,Bathroom_1,0.32
2023-01-01 18:22:00,Bathroom_1,0.18
2023-01-01 23:52:00,Bathroom_1,0.94
2023-01-01 23:02:00,Bathroom_1,0.13
2023-01-01 01:23:00,Bathroom_1,1.27
2023-01-02 01:59:00,Bathroom_1,0.36
2023-01-02 11:57:00,Bathroom_1,0.83
2023-01-02 11:24:00,Bathroom_1,0.51
2023-01-02 09:27:00,Bathroom_1,1.46
2023-01-02 14:46:00,Bathroom_1,0.97
2023-01-03 19:56:00,Bathroom_1,0.17
2023-01-03 18:06:00,Bathroom_1,0.34
2023-01-03 06:17:00,Bathroom_1,1.43
2023-01-03 13:49:00,Bathroom_1,0.64
2023-01-03 20:01:00,Bathroom_1,1.06
2023-01-03 14:59:00,Bathroom_1,0.27
2023-01-04 07:46:00,Bathroom_1,0.34
2023-01-04 16:35:00,Bathroom_1,0.36
2023-01-04 03:01:00,Bathroom_1,0.7
2023-01-04 21:41:00,Bathroom_1,0.89
2023-01-05 17:25:00,Bathroom_1,0.73
2023-01-05 09:35:00,Bathroom_1,0.94
2023-01-05 15:14:00,Bathroom_1,0.22
2023-01-05 22:59:00,Bathroom_1,0.16
2023-01-06 15:44:00,Bathroom_1,0.48
2023-01-06 20:23:00,Bathroom_1,0.6
2023-01-06 12:40:00,Bathroom_1,0.51
2023-01-06 12:00:00,Bathroom_1,0.12
2023-01-07 23:00:00,Bathroom_1,0.38
2023-01-07 23:10:00,Bathroom_1,0.38
2023-01-07 07:34:00,Bathroom_1,1.21
2023-01-07 04:41:00,Bathroom_1,0.6
2023-01-01 06:08:00,Bathroom_2,0.97
2023-01-01 01:32:00,Bathroom_2,0.19
2023-01-01 22:23:00,Bathroom_2,1.03
2023-01-01 11:39:00,Bathroom_2,0.48
2023-01-02 00:34:00,Bathroom_2,0.27
2023-01-02 13:02:00,Bathroom_2,1.17
2023-01-02 22:13:00,Bathroom_2,0.79
2023-01-02 08:14:00,Bathroom_2,0.7
2023-01-02 09:59:00,Bathroom_2,0.25
2023-01-02 06:48:00,Bathroom_2,0.54
2023-01-03 04:22:00,Bathroom_2,0.95
2023-01-03 14:42:00,Bathroom_2,0.38
2023-01-03 12:31:00,Bathroom_2,0.94
2023-01-03 18:21:00,Bathroom_2,1.33
2023-01-03 09:44:00,Bathroom_2,0.51
2023-01-04 05:27:00,Bathroom_2,1.23
2023-01-04 11:19:00,Bathroom_2,1.35
2023-01-04 10:57:00,Bathroom_2,0.27
2023-01-04 06:32:00,Bathroom_2,0.48
2023-01-05 19:12:00,Bathroom_2,1.31
2023-01-05 06:05:00,Bathroom_2,0.82
2023-01-05 08:36:00,Bathroom_2,1.07
2023-01-05 09:43:00,Bathroom_2,0.44
2023-01-05 21:31:00,Bathroom_2,0.83
2023-01-05 08:51:00,Bathroom_2,0.61
2023-01-06 19:11:00,Bathroom_2,0.45
2023-01-06 01:02:00,Bathroom_2,0.52
2023-01-06 16:55:00,Bathroom_2,0.15
2023-01-06 16:01:00,Bathroom_2,0.8
2023-01-07 22:36:00,Bathroom_2,0.58
2023-01-07 00:18:00,Bathroom_2,1.05
2023-01-07 20:43:00,Bathroom_2,0.73
2023-01-07 05:31:00,Bathroom_2,0.93
2023-01-07 22:10:00,Bathroom_2,0.62
